STU_ID,SCH_ID,F3ERN2011,F3C02,F3EVRGED,F3EVERDO,BYMOTHED,BYS14,BYRACE,BYP61,F3ATTAINMENT,BYTXCSTD,BYSES1,F3JUNEDSTAT,F3REGION,F3B35
152226,1522,0,-3,0,0,4,1,2,-4,6,55.61,0.02,1,2,-3
153101,1531,-4,-4,0,0,4,2,7,0,-4,46.53,-0.24,-4,-4,-4
153102,1531,160000,50,0,0,3,1,7,1,5,39.25,-0.24,3,2,1
153103,1531,-8,-8,0,0,3,1,7,1,-8,43.56,-0.73,-8,-8,-8
153104,1531,-4,-4,0,0,2,1,1,0,-4,50.34,0.13,-4,-4,-4
153106,1531,-4,-4,0,0,2,2,7,0,-4,55.66,-0.34,-4,-4,-4
153107,1531,-4,-4,0,1,2,1,7,-3,-4,39.57,-0.71,-4,-4,-4
153108,1531,1500,10,0,0,6,1,7,0,6,62.44,-0.6,3,2,0
153109,1531,-4,-4,0,0,4,2,7,-4,-4,55.79,0.2,-4,-4,-4
153110,1531,10000,30,0,0,2,1,7,0,2,38.78,0.17,4,2,0
153111,1531,0,-3,1,1,6,2,1,1,2,48.64,-0.24,4,3,-3
153112,1531,50000,50,0,0,4,2,7,1,3,60.47,-0.33,3,1,0
153113,1531,40000,37,0,0,3,2,7,0,5,52.68,-0.09,3,2,1
153114,1531,-4,-4,0,0,4,2,7,0,-4,43.35,-0.07,-4,-4,-4
153115,1531,29000,40,0,0,2,2,7,0,6,67.51,-0.45,3,2,1
153116,1531,15000,40,0,1,1,1,7,0,3,37.66,-0.44,3,2,1
153117,1531,0,35,0,0,2,2,7,0,3,52.97,-0.49,3,3,0
153119,1531,1000,50,0,0,4,1,6,1,3,44.85,-0.28,1,3,-3
153121,1531,-4,-4,0,0,6,1,7,0,-4,60.87,0.68,-4,-4,-4
153122,1531,70000,45,0,0,4,2,7,0,5,59.74,0.49,3,3,1
153123,1531,53000,40,0,0,1,2,6,1,5,54.46,-0.54,3,2,1
153124,1531,25000,-7,0,0,8,1,7,-4,4,53.71,1.01,3,2,-7
153125,1531,-8,-8,0,0,4,1,7,1,-8,53.9,0.1,-8,-8,-8
153126,1531,0,-3,1,1,5,2,1,1,3,46.21,-0.69,1,2,-3
153127,1531,10000,45,0,0,5,2,5,1,2,48.64,-0.61,4,2,0
153128,1531,11000,30,0,0,2,2,7,-4,3,56.76,-0.42,1,2,1
153129,1531,60000,46,0,0,2,2,7,0,6,49.32,-1.28,3,2,1
153130,1531,9500,20,1,1,3,1,7,0,3,44.5,0.24,2,2,0
153131,1531,-4,-4,0,0,6,1,7,1,-4,46.36,-0.34,-4,-4,-4
153202,1532,0,30,0,0,3,2,7,-4,3,38.08,-0.02,3,2,0
153205,1532,30000,40,0,0,2,1,7,0,3,70.69,-0.47,3,3,0
153206,1532,32000,40,1,1,1,1,6,0,2,47.96,-1.5,4,2,1
153207,1532,1000,55,0,0,6,2,7,1,3,36.51,0.67,3,2,0
153208,1532,16000,32,0,0,1,2,7,1,4,45.95,-1.03,3,3,0
153210,1532,-4,-4,0,0,5,1,7,-3,-4,54.69,-1.19,-4,-4,-4
153211,1532,40000,36,1,0,3,2,7,1,5,53.78,0.55,3,2,1
153213,1532,-8,-8,0,0,2,1,7,1,-8,37.26,-0.22,-8,-8,-8
153214,1532,46000,36,0,0,6,2,7,0,6,53.91,0.61,3,2,1
153215,1532,-4,-4,0,0,2,1,7,0,-4,44.35,-0.97,-4,-4,-4
153216,1532,72000,55,0,0,2,1,7,0,6,48.14,-0.5,3,2,1
153217,1532,29000,45,0,0,4,2,7,0,4,52.19,0.01,1,2,1
153218,1532,72000,40,0,0,2,1,7,0,5,43.61,-0.28,1,4,1
153219,1532,2500,-7,0,0,6,2,7,-4,3,52.78,0.14,3,2,-7
153220,1532,28000,40,0,0,4,2,7,0,8,67.24,-0.43,3,3,1
153221,1532,14000,40,0,0,1,2,7,-3,5,45.25,-1.01,3,2,0
153222,1532,52000,36,0,0,3,2,7,0,6,64.91,0.72,3,2,1
153223,1532,2500,-7,0,0,2,2,7,0,3,52.24,-0.53,3,2,-7
153224,1532,1000,12,1,1,1,2,7,1,2,45.88,-1.5,4,2,0
153225,1532,68000,60,1,1,2,1,7,0,3,55.87,-0.61,2,2,1
153226,1532,-4,-4,0,0,2,2,7,1,-4,39.99,-1.25,-4,-4,-4
153227,1532,0,-3,0,0,2,2,7,0,3,61.48,-0.2,3,2,0
153229,1532,10000,40,0,0,2,1,7,0,3,51.44,-0.11,1,2,0
154101,1541,30000,55,0,0,6,1,7,0,3,57.07,0.8,3,2,0
