,STU_ID,SCH_ID,F3ERN2011,F3C02,F3EVRGED,F3EVERDO,BYMOTHED,BYS14,BYRACE,BYP61,F3ATTAINMENT,BYTXCSTD,BYSES1,F3JUNEDSTAT,F3REGION,F3B35,female,no_parent,moth_ed_1,moth_ed_2,moth_ed_3,moth_ed_4,moth_ed_5,moth_ed_6,moth_ed_7,moth_ed_8,region_1,region_2,region_3,region_4,high_school_grad,ged,BYRACE2,Other,Asian,Black,Hispanic,White,post_sec_edu,income_log
286,106203,1062,35000,40,0,0,5,2,7,0,4,59.11,0.19,3,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,1,10.46310334
287,106204,1062,60000,60,0,0,3,1,7,0,6,47.38,-0.26,3,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,1,4,11.00209984
289,106207,1062,55000,45,0,0,2,1,7,1,6,53.68,-0.38,3,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.91508846
292,106210,1062,36000,40,0,0,4,1,7,0,6,51.88,-0.6,3,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.49127422
293,106211,1062,35000,45,0,0,2,2,7,0,6,57.04,-0.59,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.46310334
296,107101,1071,75000,50,0,0,2,2,7,0,6,62.55,-0.54,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,11.22524339
297,107102,1071,38000,60,0,0,2,1,7,0,10,61.99,0.39,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,8,10.54534144
308,107114,1071,20000,40,0,0,2,2,7,0,4,26.68,-0.85,3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,1,9.903487553
310,107116,1071,65000,45,0,0,7,2,2,1,6,56.72,-0.08,3,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,1,0,0,0,4,11.08214255
311,107117,1071,5000,15,0,0,5,2,7,1,2,46.7,0.63,4,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,8.517193191
318,107125,1071,45000,40,0,0,3,1,7,0,6,59.59,0.38,3,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.71441777
319,107126,1071,6000,40,0,0,2,1,7,0,2,27.99,-0.94,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,8.699514748
