STU_ID,SCH_ID,F3ERN2011,F3C02,BYTXCSTD,BYSES1,female,no_parent,moth_ed_1,moth_ed_2,moth_ed_3,moth_ed_4,moth_ed_5,moth_ed_6,moth_ed_7,moth_ed_8,region_1,region_2,region_3,region_4,high_school_grad,ged,Other,Asian,Black,Hispanic,White,post_sec_edu,income_log
103109,1031,47000,40,54.82,0.59,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,6,10.75790288
103111,1031,48000,40,50.72,-0.41,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,10.77895629
103116,1031,11000,15,51.98,0.14,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6,9.305650552
103117,1031,40000,40,21.5,-1.02,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,10.59663473
103118,1031,55000,40,51,-0.77,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,10.91508846
103124,1031,18000,40,37.56,-0.92,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,9.798127037
103127,1031,28000,24,58.48,0.84,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,10.23995979
103129,1031,25000,40,50.32,0.4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,10.1266311
103205,1032,24000,40,53.45,-0.02,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,4,10.08580911
103225,1032,26000,40,61.79,0.53,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,10.16585182
103303,1033,30000,40,45.29,-0.18,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,10.30895266
103306,1033,40000,40,51.68,-0.89,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,10.59663473
103308,1033,47000,40,59.6,0.55,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,4,10.75790288
103315,1033,35000,65,42.27,-0.56,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,10.46310334
103318,1033,37000,40,58.31,1.2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,10.51867319
103322,1033,27000,40,50.41,-0.4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4,10.20359214
103324,1033,19000,40,34.32,0.12,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,9.852194258
104101,1041,50000,50,62.58,0.85,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,10.81977828
104103,1041,10000,30,45.17,0.84,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,9.210340372
104104,1041,48000,40,55.12,1.8,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,4,10.77895629
104108,1041,62000,45,57.14,0.87,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,4,11.03488966
104110,1041,10000,20,60.99,0.7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,2,9.210340372
104115,1041,9000,33,49.04,0.26,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4,9.104979856
104116,1041,5500,18,48.19,-0.12,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4,8.612503371
104119,1041,12000,35,60.25,0.55,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,9.392661929
104122,1041,300,40,41.2,1.49,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,5.703782475
104202,1042,56000,40,60.47,0.71,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,10.93310697
104204,1042,53000,40,65.13,1.06,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,4,10.87804719
104205,1042,6000,15,52.78,-0.77,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,8.699514748
104208,1042,63000,40,63.88,0.84,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,4,11.05089001
104216,1042,30000,30,52.58,1.06,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,4,10.30895266
104218,1042,40000,45,53.29,-0.26,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,10.59663473
104220,1042,15000,36,56.57,0.63,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,6,9.61580548
104223,1042,80000,45,70.13,1.65,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,4,11.28978191
104224,1042,50000,40,48.3,0.86,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,10.81977828
104225,1042,70000,40,55.7,0.21,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,11.15625052
104231,1042,10000,16,54.69,-0.52,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,9.210340372
105102,1051,21000,37,66.76,0.27,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,9.952277717
